Date,current_pure_regime,regime_plus_trend,buy_and_hold
2018-11-23,122978.23150927214,125789.83384385628,119095.14275047812
2018-11-26,124342.97709852412,127185.7810680461,120416.79593068176
2018-11-27,124412.82742389636,127257.22835359152,120484.44070300677
2018-11-28,126204.09916461215,129089.45322679475,122219.15229421516
2018-11-29,126440.8542047316,129331.62110311582,122448.43169556836
2018-11-30,126969.68746659033,129872.54486924835,122960.56682744752
2018-12-03,128668.45631683675,131610.15199523393,124605.69634538915
2018-12-04,126854.3996033938,129754.6212255455,122848.91922643487
2018-12-06,126746.80997946429,129644.57182288845,122744.72678958568
2018-12-07,125324.15495298324,128189.39120106689,121366.9926866955
2018-12-10,125295.73148804354,128160.31790176706,121339.46670447156
2018-12-11,125396.18552858889,128263.06858303856,121436.74886694686
2018-12-12,125468.58433228766,128337.12261175564,121506.86164833629
2018-12-13,125669.80638598006,128542.94512513094,121701.73003207325
2018-12-14,124119.04181982632,126956.72604624696,120199.93150145657
2018-12-17,122875.24868874619,125684.49656811445,118995.41165530084
2018-12-18,122531.25896986845,125332.64234927765,118662.28355472839
2018-12-19,121318.90510029759,124092.57091597056,117488.21026233639
2018-12-20,120117.82146489469,122864.02738370717,116325.0513417856
2018-12-21,118588.63626983263,121299.8810364828,114844.1508046519
2018-12-24,116834.21896214661,119505.35318453552,113145.12995243691
2018-12-26,120240.93578489262,122989.95641737661,116444.27827597417
2018-12-27,120809.93630263176,123571.96576736534,116995.31236593935
2018-12-28,120797.73157168333,123559.48200451341,116983.49300444183
2018-12-31,121348.9751383328,124123.32843331087,117517.33082642622
2019-01-02,122149.46903557981,124942.12370375782,118292.5487962531
2019-01-03,120885.6866369139,123649.44795137485,117068.67085194138
2019-01-04,123132.71400024598,125947.84820650317,119244.74739261018
2019-01-07,123759.94253350305,126589.41681594105,119852.1709243089
2019-01-08,124263.17779332056,127104.15734310533,120339.51632169755
2019-01-09,124833.30986871618,127687.32412110263,120891.64623991604
2019-01-10,124557.4962800635,127405.20471620712,120624.54157992883
2019-01-11,124502.11407083263,127348.55632558092,120570.90808696639
2019-01-14,124065.0507846637,126901.50063554774,120147.64525566314
2019-01-15,124712.9087404276,127564.17030976416,120775.04682728126
2019-01-16,124862.8824684176,127717.57282737464,120920.28507249414
