Date,current_shared_signal,asset_specific_signal,buy_and_hold
2025-03-26,303199.4297103608,301290.02820150217,270694.0665328321
2025-03-27,303134.1569335363,301319.9843798574,270635.791510978
2025-03-28,301522.882740176,299910.41103350534,269197.2585819525
2025-03-31,304001.36307348986,302593.7005371968,271410.026333156
2025-04-01,305126.04582177935,303773.8824316717,272414.1342465008
2025-04-02,305853.1248458672,304463.4360156143,273063.2646815715
2025-04-03,305853.1248458672,301215.5262957052,264497.7171177272
2025-04-04,305853.1248458672,300560.58302936715,253647.356181479
2025-04-07,305853.1248458672,297456.26307415555,250378.97476884985
2025-04-08,305853.1248458672,296657.0103490269,246964.48906808684
2025-04-09,305853.1248458672,299200.97133837984,262663.67696112115
2025-04-10,305853.1248458672,299012.79194877343,255047.58535372117
2025-04-11,305853.1248458672,300479.4545959679,259787.05237187777
2025-04-14,305853.1248458672,300565.35351742065,260843.49603659054
2025-04-15,305853.1248458672,301092.83770088834,261066.97572059723
2025-04-16,305853.1248458672,303388.4018680726,260874.37286501063
2025-04-17,305853.1248458672,302586.0540569771,261616.59692267707
2025-04-21,305853.1248458672,303400.36012504133,259012.07978894396
2025-04-22,305853.1248458672,302877.64240780275,262724.1070932979
2025-04-23,305853.1248458672,302013.51718366717,263529.1544073436
2025-04-24,305853.1248458672,303529.15135536686,268062.54879355914
2025-04-25,305853.1248458672,303318.1660253861,268831.65548265097
2025-04-28,305853.1248458672,304564.32578115474,269969.2624461631
2025-04-29,305853.1248458672,304481.828582586,270458.67549178196
2025-04-30,305853.1248458672,303533.3511204804,268268.0482855241
2025-05-01,305853.1248458672,301964.51203686616,268038.6529317498
2025-05-02,305853.1248458672,301563.84012118017,269361.5417768624
2025-05-05,305853.1248458672,301308.3188714036,268549.91944029334
2025-05-06,305853.1248458672,304067.76353907277,270034.0511421244
2025-05-07,305853.1248458672,303393.5296412306,269840.1938293218
2025-05-08,305877.97001248016,303316.6992654583,269862.11358109134
2025-05-09,307010.3757952954,304453.23102113395,270861.18330150796
2025-05-12,310297.3515489804,307627.84074890247,273761.1313564236
2025-05-13,311836.0379139315,309115.83434195374,275118.6438133265
2025-05-14,310005.168175605,307239.39489536703,273503.3513577885
2025-05-15,312539.6479804365,309832.285528899,275739.4067263151
2025-05-16,312394.6341914885,309713.3660665382,275611.46770676976
2025-05-19,312153.360337123,309456.154991505,275398.60284341173
2025-05-20,311556.8734467888,308634.4513947419,274872.3497989626
2025-05-21,308269.92199017777,304977.61697974184,271972.4231802417
2025-05-22,307775.9574933205,304493.0898457585,271536.62094462966
2025-05-23,308272.1404776058,304919.85655127873,271974.38045001915
2025-05-27,311113.1068274368,308116.2992480095,274480.8348499449
2025-05-28,309220.2919959195,306034.9542022982,272810.89107782545
2025-05-29,310876.05673922674,307828.8312669069,274271.69642187725
2025-05-30,310157.22605360905,307081.34572817304,273637.50505425496
2025-06-02,312522.90340342314,309405.3638683835,275724.63375347346
2025-06-03,313254.69709405967,310212.0562789641,276286.04943418177
2025-06-04,314028.78157395846,310918.67074068746,276879.728704183
2025-06-05,312489.6785567809,309441.9139008826,275699.70276015275
2025-06-06,313773.71561550396,310837.972394781,276684.80280391
2025-06-09,314846.124561961,311856.3466277481,277507.10477867123
2025-06-10,317681.9650795314,314662.5120136135,279680.60514365084
2025-06-11,319268.31471089995,316182.69261058065,280895.03059902176
2025-06-12,321804.7982781184,318576.85033682396,282835.5699276069
2025-06-13,321916.5864396063,318562.31108218397,282921.0056476858
2025-06-16,322086.7305429517,318866.9546568393,283051.034850905
2025-06-17,322671.9590939655,319441.42368605576,283498.2531641067
2025-06-18,321849.86042674084,318679.1675034877,282870.17272912775
2025-06-20,322193.5365020254,319023.4638457694,283132.82749792264
2025-06-23,322241.9915525953,319289.11192501674,283169.8541643045
2025-06-24,321312.0444451821,318809.71455477126,282459.2540193693
2025-06-25,321880.3499280857,319341.8947942272,282893.67701701337
2025-06-26,324548.7346901457,321856.62864317506,284932.9688848685
2025-06-27,322933.0391644783,320482.8821900152,283699.51060415775
